lon,lat,altitude,sats,date,GMTtime,winddir,windspeedms,windgustms,windspdms_avg2m,winddir_avg2m,windgustms_10m,windgustdir_10m,humidity,tempc,raindailymm,rainhourmm,rain5mmm,rainindicate,pressure,batt_lvl,light_lvl
0.000000,0.000000,0.00,0,2000-00-00,13:07:42,45,nan,0.0,0,0.0,0,0.3,0,45.4,-999.0,0.28,0.28,0.00,1,0.00,12.10,0.00
0.000000,0.000000,0.00,0,2000-00-00,13:07:42,90,nan,0.0,0,0.0,1,0.5,90,44.7,28.1,0.28,0.28,0.00,1,100062.50,12.10,0.00
0.000000,0.000000,0.00,0,2000-00-00,13:07:42,90,nan,0.0,0,0.0,1,0.6,90,44.0,28.4,0.28,0.28,0.00,1,100059.25,12.10,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:08:18,90,nan,0.0,0,0.0,2,0.8,90,43.3,28.6,0.28,0.28,0.00,1,100046.25,12.10,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:08:27,90,nan,0.0,0,0.0,3,0.8,90,42.7,29.0,0.28,0.28,0.00,1,100046.50,12.10,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:08:33,90,nan,0.0,0,0.0,4,0.8,90,42.1,29.2,0.28,0.28,0.00,1,100040.50,12.12,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:08:33,90,nan,0.0,0,0.0,4,0.8,90,41.5,29.5,0.28,0.28,0.00,1,100051.00,12.10,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:08:33,90,nan,0.0,0,0.0,5,0.8,90,40.8,29.8,0.28,0.28,0.00,1,100053.00,12.12,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:08:33,90,nan,0.0,0,0.0,6,0.8,90,40.3,30.1,0.28,0.28,0.00,1,100048.25,12.07,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:08:33,90,nan,0.0,0,0.0,7,0.8,90,39.8,30.2,0.28,0.28,0.00,1,100029.25,12.07,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:08:33,45,nan,0.0,0,0.0,7,0.8,90,39.4,30.5,0.28,0.28,0.00,1,100039.00,12.10,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:08:33,90,nan,0.0,0,0.0,8,0.8,90,38.9,30.7,0.28,0.28,0.00,1,100035.25,12.12,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:08:33,90,nan,0.0,0,0.0,8,0.8,90,38.5,30.9,0.28,0.28,0.00,1,100021.75,12.12,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:08:33,90,nan,0.0,0,0.0,8,0.8,90,38.0,31.2,0.28,0.28,0.00,1,100029.75,12.07,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:08:33,45,nan,0.0,0,0.0,8,0.8,90,37.6,31.4,0.28,0.28,0.00,0,100028.00,12.10,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:10:19,0,nan,0.0,0,0.0,7,0.8,90,37.3,31.6,0.28,0.28,0.00,0,100028.75,12.10,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:10:29,45,nan,0.0,0,0.0,7,0.8,90,36.9,31.7,0.28,0.28,0.00,0,100030.75,12.10,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:10:32,45,nan,0.0,0,0.0,6,0.8,90,36.5,32.0,0.28,0.28,0.00,0,100032.25,12.10,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:10:49,45,nan,0.0,0,0.0,6,0.8,90,36.2,32.1,0.28,0.28,0.00,0,100032.00,12.10,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:10:59,0,nan,0.0,0,0.0,5,1.4,0,35.9,32.3,0.28,0.28,0.00,0,100033.75,12.12,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:11:02,90,nan,0.0,0,0.0,5,1.4,0,35.6,32.5,0.28,0.28,0.00,0,100041.75,12.10,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:11:02,0,nan,0.0,0,0.0,4,1.4,0,35.4,32.6,0.28,0.28,0.00,0,100043.25,12.10,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:11:29,0,nan,0.0,0,0.0,4,1.4,0,35.1,32.8,0.28,0.28,0.00,0,100035.25,12.10,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:11:38,90,nan,0.0,0,0.0,4,1.4,0,34.9,32.9,0.28,0.28,0.00,0,100026.50,12.10,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:11:49,90,nan,0.0,0,0.0,4,1.4,0,34.6,33.1,0.28,0.28,0.00,0,100027.00,12.10,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:11:50,90,nan,0.0,0,0.0,4,1.4,0,34.4,33.2,0.28,0.28,0.00,0,100029.75,12.10,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:12:09,90,nan,0.0,0,0.0,4,1.4,0,34.2,33.4,0.28,0.28,0.00,0,100032.25,12.10,0.00
0.000000,0.000000,0.00,0,2017-02-09,13:12:19,90,nan,0.0,0,0.0,5,1.4,0,33.9,33.5,0.28,0.28,0.00,0,100033.75,12.07,0.00
