Start MWS
lon,lat,altitude,sats,date,GMTtime,winddir,windspeedms,windgustms,windgustdir,windspdms_avg2m,winddir_avg2m,windgustms_10m,windgustdir_10m,humidity,tempc,rainhourmm,raindailymm,rainindicate,rain5min,pressure,batt_lvl,light_lvl
Module Initializing..
Module Ready.
Sending a Test SMS
SMS Sent
04:16:14	Wind Speed :1.22	Wind Direction : NW 
04:16:15	Wind Speed :0.67	Wind Direction : N 
04:16:16	Wind Speed :0.00	Wind Direction : W 
04:16:17	Wind Speed :0.67	Wind Direction : SW 
04:16:18	Wind Speed :0.67	Wind Direction : SW 
04:16:19	Wind Speed :0.67	Wind Direction : W 
04:16:20	Wind Speed :0.67	Wind Direction : W 
04:16:21	Wind Speed :0.67	Wind Direction : W 
04:16:22	Wind Speed :0.67	Wind Direction : SW 
04:16:23	Wind Speed :0.67	Wind Direction : SW 
04:16:24	Wind Speed :0.67	Wind Direction : W 
04:16:25	Wind Speed :0.00	Wind Direction : N 
04:16:26	Wind Speed :1.33	Wind Direction : NE 
04:16:27	Wind Speed :0.67	Wind Direction : N 
04:16:28	Wind Speed :0.67	Wind Direction : N 
04:16:29	Wind Speed :1.33	Wind Direction : NE 
04:16:30	Wind Speed :0.67	Wind Direction : N 
04:16:31	Wind Speed :1.33	Wind Direction : N 
04:16:32	Wind Speed :1.33	Wind Direction : N 
04:16:33	Wind Speed :0.67	Wind Direction : NE 
04:16:34	Wind Speed :1.33	Wind Direction : NE 
04:16:35	Wind Speed :0.67	Wind Direction : NE 
04:16:36	Wind Speed :0.67	Wind Direction : NE 
04:16:37	Wind Speed :0.67	Wind Direction : NE 
04:16:38	Wind Speed :0.67	Wind Direction : NE 
04:16:39	Wind Speed :0.67	Wind Direction : NE 
04:16:40	Wind Speed :0.67	Wind Direction : NE 
04:16:41	Wind Speed :0.67	Wind Direction : NE 
04:16:42	Wind Speed :0.67	Wind Direction : NE 
04:16:43	Wind Speed :0.00	Wind Direction : N 
04:16:44	Wind Speed :0.67	Wind Direction : N 
04:16:45	Wind Speed :0.67	Wind Direction : N 
04:16:46	Wind Speed :0.00	Wind Direction : N 
04:16:47	Wind Speed :0.00	Wind Direction : N 
04:16:48	Wind Speed :0.67	Wind Direction : W 
04:16:49	Wind Speed :0.67	Wind Direction : W 
04:16:50	Wind Speed :0.00	Wind Direction : W 
04:16:51	Wind Speed :0.67	Wind Direction : W 
04:16:52	Wind Speed :0.00	Wind Direction : W 
04:16:53	Wind Speed :0.67	Wind Direction : N 
04:16:54	Wind Speed :0.00	Wind Direction : N 
04:16:55	Wind Speed :0.67	Wind Direction : N 
04:16:56	Wind Speed :0.67	Wind Direction : N 
04:16:57	Wind Speed :0.00	Wind Direction : N 
04:16:58	Wind Speed :0.00	Wind Direction : N 
04:16:59	Wind Speed :0.67	Wind Direction : N 
04:17:00	Wind Speed :0.67	Wind Direction : N 
04:17:01	Wind Speed :0.00	Wind Direction : N 
04:17:02	Wind Speed :0.67	Wind Direction : N 
04:17:03	Wind Speed :0.00	Wind Direction : N 
04:17:04	Wind Speed :0.67	Wind Direction : N 
04:17:05	Wind Speed :0.00	Wind Direction : N 
04:17:06	Wind Speed :0.67	Wind Direction : N 
04:17:07	Wind Speed :0.00	Wind Direction : N 
04:17:08	Wind Speed :0.00	Wind Direction : NE 
04:17:09	Wind Speed :0.67	Wind Direction : E 
04:17:10	Wind Speed :0.00	Wind Direction : E 
04:17:11	Wind Speed :0.00	Wind Direction : E 
04:17:12	Wind Speed :0.67	Wind Direction : E 
04:17:13	Wind Speed :0.00	Wind Direction : E 
