lon,lat,altitude,sats,date,GMTtime,winddir,windspeedms,windgustms,windgustdir,windspdms_avg5m,winddir_avg5m,windgustms_5m,windgustdir_5m,humidity,tempc,rainhourmm,raindailymm,rainindicate,rain5min,pressure,batt_lvl,light_lvl
80.455131,8.182188,119.50,11,2017-08-14,11:10:00,0,5.1,10.4,180,0.7,103,2.7,0,90.3,26.8,1.270,6.604,1,0.762,99649.25,4.09,0.00,
80.455139,8.182179,119.70,11,2017-08-14,11:15:00,270,5.7,10.4,180,3.1,111,6.3,270,90.5,26.8,4.318,9.652,1,3.048,99678.00,4.11,0.00,
80.455123,8.182191,117.50,12,2017-08-14,11:20:01,225,4.5,10.4,180,2.3,199,7.0,270,89.4,26.5,9.144,14.478,1,4.826,99693.00,4.11,0.00,
80.455123,8.182188,119.70,12,2017-08-14,11:25:01,0,0.0,10.4,180,1.3,16,1.8,0,90.5,26.2,10.668,16.002,1,1.524,99698.50,4.11,0.00,
80.455131,8.182189,116.50,12,2017-08-14,11:30:01,45,0.0,10.4,180,1.0,25,1.7,0,91.0,26.1,10.922,16.256,1,0.254,99671.75,4.11,0.00,
80.455131,8.182192,107.70,12,2017-08-14,11:35:00,90,5.1,10.4,180,0.5,45,1.0,90,91.8,26.3,10.922,16.256,0,0.000,99682.75,4.08,0.00,
80.455123,8.182187,119.80,12,2017-08-14,11:40:00,45,0.0,10.4,180,0.1,114,0.9,90,92.0,26.4,10.922,16.256,0,0.000,99697.50,4.12,0.00,
80.455139,8.182189,125.30,12,2017-08-14,11:45:01,90,0.0,10.4,180,0.0,79,0.0,0,90.8,26.4,11.176,16.510,1,0.254,99718.00,4.13,0.00,
80.455123,8.182195,125.70,9,2017-08-14,11:50:01,90,0.0,10.4,180,0.0,73,0.0,0,90.4,26.4,11.176,16.510,0,0.000,99712.00,4.12,0.00,
80.455146,8.182176,123.90,10,2017-08-14,11:55:01,45,0.0,10.4,180,0.0,79,0.0,0,90.0,26.3,11.176,16.510,0,0.000,99700.25,4.08,0.00,
80.455131,8.182190,117.20,9,2017-08-14,12:05:00,90,0.0,10.4,180,0.0,53,0.2,90,91.2,26.2,0.000,16.510,0,0.000,99702.75,4.11,0.00,
80.455139,8.182184,119.50,10,2017-08-14,12:10:00,90,0.0,10.4,180,0.1,135,0.3,90,91.5,26.2,0.000,16.510,0,0.000,99717.25,4.12,0.00,
80.455146,8.182182,125.20,11,2017-08-14,12:15:01,135,0.0,10.4,180,0.0,124,0.1,135,91.7,26.2,0.000,16.510,0,0.000,99737.50,4.09,0.00,
80.455139,8.182182,124.30,10,2017-08-14,12:20:01,135,0.0,10.4,180,0.3,121,0.8,135,91.8,26.2,0.000,16.510,0,0.000,99748.00,4.11,0.00,
80.455146,8.182180,117.80,9,2017-08-14,12:25:01,135,0.0,10.4,180,0.2,132,1.0,135,92.1,26.2,0.000,16.510,0,0.000,99754.50,4.12,0.00,
80.455139,8.182173,115.80,10,2017-08-14,12:30:00,90,0.0,10.4,180,0.2,117,1.5,90,92.2,26.1,0.000,16.510,0,0.000,99750.50,4.13,0.00,
80.455116,8.182179,125.00,10,2017-08-14,12:35:00,135,0.0,10.4,180,0.2,124,1.4,135,92.2,26.0,0.000,16.510,0,0.000,99760.25,4.12,0.00,
