lon,lat,altitude,sats,date,GMTtime,winddir,windspeedms,windgustms,windgustdir,windspdms_avg5m,winddir_avg5m,windgustms_5m,windgustdir_5m,humidity,tempc,rainhourmm,raindailymm,rainindicate,rain5min,pressure,batt_lvl,light_lvl
80.547378,8.161451,129.80,10,2017-08-11,10:55:01,225,0.0,2.1,0,1.0,146,2.1,0,56.8,35.6,28.956,28.956,1,28.956,0.00,3.99,0.00,
80.547370,8.161435,124.50,12,2017-08-11,11:05:00,225,5.1,2.1,0,0.9,170,1.7,225,53.8,36.5,0.000,28.956,0,0.000,99250.25,3.90,0.01,
80.547378,8.161441,124.90,11,2017-08-11,11:10:00,270,0.0,2.1,0,1.2,243,1.9,225,51.9,36.8,0.000,28.956,0,0.000,99266.75,3.82,0.00,
80.547370,8.161460,126.60,12,2017-08-11,11:15:00,225,0.0,2.3,225,1.2,183,2.3,225,51.9,37.1,0.000,28.956,0,0.000,99260.50,4.00,0.00,
80.547370,8.161469,126.60,11,2017-08-11,11:20:01,180,2.8,3.0,225,1.6,193,3.0,225,50.9,37.1,0.000,28.956,0,0.000,99253.50,4.01,0.00,
80.547386,8.161454,127.90,11,2017-08-11,11:25:01,270,2.8,3.0,225,1.7,211,2.5,225,50.9,36.8,0.000,28.956,0,0.000,99264.50,3.70,0.00,
80.547378,8.161460,126.40,11,2017-08-11,11:30:00,270,3.0,3.0,225,1.2,219,2.1,225,52.3,36.4,0.000,28.956,0,0.000,99270.00,3.52,0.00,
80.547386,8.161460,127.30,11,2017-08-11,11:35:00,180,3.2,3.0,225,1.3,205,2.4,270,53.5,36.1,0.000,28.956,0,0.000,99275.25,3.90,0.00,
80.547370,8.161457,127.20,11,2017-08-11,11:40:01,0,0.0,3.0,225,1.2,180,3.0,225,54.4,35.7,0.000,28.956,0,0.000,99271.25,3.42,0.00,
80.547363,8.161475,132.50,10,2017-08-11,11:45:01,270,0.0,3.0,225,1.5,229,2.5,325,54.5,35.5,0.000,28.956,0,0.000,99285.75,4.00,0.00,
80.547370,8.161450,125.50,12,2017-08-11,11:50:01,270,0.0,3.0,225,1.0,187,1.9,225,55.1,35.2,0.000,28.956,0,0.000,99292.00,3.98,0.00,
80.547393,8.161439,126.40,12,2017-08-11,11:55:00,225,2.8,3.0,225,1.1,190,2.2,225,55.9,35.0,0.000,28.956,0,0.000,99288.00,3.99,0.00,
80.547378,8.161447,123.50,11,2017-08-11,12:05:00,270,4.8,3.0,225,0.8,129,2.3,325,57.7,34.4,0.000,28.956,0,0.000,99297.00,3.95,0.00,
80.547363,8.161449,125.00,11,2017-08-11,12:10:01,0,2.8,3.0,225,1.2,184,2.1,225,58.8,34.2,0.000,28.956,0,0.000,99310.00,3.99,0.00,
