lon,lat,altitude,sats,date,GMTtime,winddir,windspeedms,windgustms,windgustdir,windspdms_avg5m,winddir_avg5m,windgustms_5m,windgustdir_5m,humidity,tempc,rainhourmm,raindailymm,rainindicate,rain5min,pressure,batt_lvl,light_lvl
80.459144,8.246515,103.00,9,2017-08-12,07:05:01,0,0.0,3.1,225,1.0,177,3.1,225,48.3,36.9,0.000,0.000,0,0.000,0.00,4.11,0.04,
80.459121,8.246506,99.10,9,2017-08-12,07:10:01,180,0.0,3.1,225,0.9,168,1.8,225,46.9,37.5,0.000,0.000,0,0.000,99707.00,4.11,0.04,
80.459037,8.246517,98.40,10,2017-08-12,07:15:01,0,0.0,3.1,225,0.4,96,1.0,90,44.9,38.4,0.000,0.000,0,0.000,99706.25,4.10,0.01,
80.459075,8.246557,99.70,10,2017-08-12,07:20:00,270,0.0,4.3,225,1.3,165,4.3,225,44.4,38.4,0.000,0.000,0,0.000,99698.50,4.08,0.01,
80.459114,8.246489,108.00,11,2017-08-12,07:25:00,225,5.1,4.3,225,1.0,202,2.1,225,45.7,37.8,0.000,0.000,0,0.000,99693.25,4.08,0.02,
80.459068,8.246517,108.10,11,2017-08-12,07:30:00,135,0.0,4.3,225,0.6,169,1.4,135,46.3,37.4,0.000,0.000,0,0.000,99693.50,4.10,0.01,
80.459091,8.246488,113.60,11,2017-08-12,07:35:01,135,0.0,4.3,225,0.8,109,1.8,0,47.5,37.1,0.000,0.000,0,0.000,99691.50,4.08,0.03,
80.459053,8.246505,111.20,11,2017-08-12,07:40:01,180,5.1,4.3,225,0.5,166,1.2,0,45.6,37.7,0.000,0.000,0,0.000,99680.75,4.08,0.02,
80.459098,8.246513,109.70,10,2017-08-12,07:45:01,180,0.0,4.3,225,0.7,178,1.6,180,44.3,38.1,0.000,0.000,0,0.000,99674.75,4.13,0.02,
80.459091,8.246520,110.10,10,2017-08-12,07:50:01,180,0.0,4.3,225,1.0,162,2.3,225,44.1,38.2,0.000,0.000,0,0.000,99673.75,4.08,0.02,
80.459068,8.246492,111.00,10,2017-08-12,07:55:00,180,0.0,4.3,225,0.6,130,1.9,180,43.0,38.3,0.000,0.000,0,0.000,99666.50,4.10,0.03,
80.459060,8.246520,114.10,9,2017-08-12,08:05:00,180,0.0,4.3,225,0.5,104,2.1,225,43.2,38.5,0.000,0.000,0,0.000,99664.75,4.10,0.01,
80.459037,8.246514,108.30,9,2017-08-12,08:10:00,225,0.0,4.3,225,0.8,160,1.9,135,43.2,38.5,0.000,0.000,0,0.000,99676.50,4.09,0.01,
80.459053,8.246492,99.30,11,2017-08-12,08:15:01,135,0.0,4.3,225,0.3,99,0.7,0,43.3,38.6,0.000,0.000,0,0.000,99677.75,4.10,0.01,
80.459091,8.246517,101.70,11,2017-08-12,08:20:01,0,2.9,4.3,225,0.9,40,1.9,0,44.2,38.4,0.000,0.000,0,0.000,99675.25,4.11,0.02,
80.459121,8.246502,111.20,9,2017-08-12,08:25:01,180,0.0,4.3,225,1.0,108,2.5,225,43.2,38.5,0.000,0.000,0,0.000,99669.25,4.10,0.02,
80.459121,8.246488,111.10,9,2017-08-12,08:30:00,180,0.0,4.3,225,1.1,207,2.3,225,43.2,38.7,0.000,0.000,0,0.000,99669.75,4.08,0.03,
80.459114,8.246496,106.50,9,2017-08-12,08:35:00,135,0.0,4.3,225,1.0,214,2.8,225,42.1,38.9,0.000,0.000,0,0.000,99655.25,4.09,0.00,
80.459129,8.246500,106.30,10,2017-08-12,08:40:00,135,0.0,4.3,225,0.9,171,1.7,180,42.1,38.9,0.000,0.000,0,0.000,99650.25,4.14,0.03,
80.459167,8.246488,121.90,10,2017-08-12,08:45:00,0,3.2,4.3,225,0.9,111,1.9,0,42.2,39.2,0.000,0.000,0,0.000,99649.00,4.11,0.03,
80.459152,8.246477,112.80,8,2017-08-12,08:50:01,180,0.0,4.3,225,1.0,177,2.5,180,40.9,39.7,0.000,0.000,0,0.000,99631.25,4.07,0.03,
80.459129,8.246525,108.30,10,2017-08-12,08:55:01,180,0.0,4.3,225,1.3,204,2.0,270,40.7,39.7,0.000,0.000,0,0.000,99621.50,4.08,0.00,
80.459022,8.246447,106.20,11,2017-08-12,09:05:00,180,2.9,4.3,225,0.8,113,3.0,225,42.6,38.6,0.000,0.000,0,0.000,99612.25,4.03,0.00,
80.459083,8.246503,105.10,11,2017-08-12,09:10:01,180,0.0,4.3,225,1.2,186,1.9,180,44.0,38.1,0.000,0.000,0,0.000,99625.75,4.08,0.01,
80.459098,8.246508,105.20,11,2017-08-12,09:15:01,225,0.0,4.3,225,1.0,201,1.9,225,44.7,37.8,0.000,0.000,0,0.000,99620.00,4.08,0.00,
80.459068,8.246478,110.50,11,2017-08-12,09:20:00,135,0.0,4.3,225,0.7,204,1.5,225,45.7,37.6,0.000,0.000,0,0.000,99610.75,4.10,0.00,
80.459106,8.246494,114.40,11,2017-08-12,09:25:00,270,0.0,4.3,225,0.6,204,1.1,180,46.6,37.4,0.000,0.000,0,0.000,99615.50,4.10,0.00,
80.459114,8.246479,105.30,11,2017-08-12,09:30:00,180,5.1,4.3,225,0.7,175,1.5,225,45.9,37.1,0.000,0.000,0,0.000,99617.25,4.10,0.00,
80.459098,8.246494,100.70,11,2017-08-12,09:35:00,225,0.0,4.3,225,0.8,205,1.2,225,47.2,36.8,0.000,0.000,0,0.000,99618.25,4.10,0.00,
80.459068,8.246507,103.00,11,2017-08-12,09:40:01,270,0.0,4.3,225,0.9,117,1.7,0,49.5,36.4,0.000,0.000,0,0.000,99632.25,4.08,0.00,
80.459068,8.246538,101.60,11,2017-08-12,09:45:01,0,0.0,4.3,225,1.2,3,2.4,0,52.2,35.6,0.000,0.000,0,0.000,99656.50,4.10,0.00,
80.459091,8.246518,104.10,11,2017-08-12,09:50:01,0,0.0,4.3,225,1.3,10,1.9,0,56.2,34.7,0.508,0.508,1,0.508,99658.00,4.11,0.00,
80.459091,8.246524,100.50,10,2017-08-12,09:55:00,45,0.0,4.3,225,1.8,28,3.0,0,57.3,33.5,0.508,0.508,0,0.000,99695.50,4.10,0.00,
80.459144,8.246497,109.20,11,2017-08-12,10:05:00,0,3.3,4.3,225,0.7,10,2.1,0,65.1,31.7,0.508,1.016,1,0.508,99758.00,4.08,0.00,
80.459114,8.246497,105.70,11,2017-08-12,10:10:00,45,0.0,4.3,225,1.6,27,2.3,45,61.2,30.7,2.286,2.794,1,1.778,99785.50,4.06,0.00,
80.459091,8.246507,106.90,10,2017-08-12,10:15:00,0,0.0,4.3,225,0.9,25,1.9,0,62.9,30.0,4.318,4.826,1,2.032,99784.50,4.07,0.00,
80.459114,8.246562,113.70,11,2017-08-12,10:20:01,0,0.0,4.3,225,0.6,16,1.1,0,64.8,29.5,4.826,5.334,1,0.508,99762.00,4.07,0.00,
80.459136,8.246528,106.20,11,2017-08-12,10:25:01,0,3.0,4.3,225,0.8,33,1.5,0,66.6,29.2,5.842,6.350,1,1.016,99774.50,4.10,0.00,
80.459121,8.246500,100.00,11,2017-08-12,10:30:01,0,0.0,4.3,225,0.5,34,0.9,45,67.4,29.0,5.842,6.350,0,0.000,99789.75,4.11,0.00,
80.459098,8.246524,114.00,10,2017-08-12,10:35:00,0,0.0,4.3,225,0.5,9,0.9,45,68.5,28.7,6.096,6.604,1,0.254,99799.25,4.10,0.00,
80.459114,8.246548,115.50,12,2017-08-12,10:40:00,90,0.0,4.3,225,0.3,57,0.6,0,70.3,28.7,6.350,6.858,1,0.254,99798.50,4.08,0.00,
80.459075,8.246479,107.00,12,2017-08-12,10:45:00,270,0.0,4.3,225,0.4,157,0.8,225,70.7,28.6,6.858,7.366,1,0.508,99799.75,4.07,0.00,
80.459129,8.246496,102.90,12,2017-08-12,10:50:01,270,0.0,4.3,225,0.0,187,0.2,270,71.7,28.5,6.858,7.366,0,0.000,99828.25,4.07,0.00,
80.459121,8.246484,104.80,12,2017-08-12,10:55:01,0,0.0,4.3,225,0.1,72,0.5,0,72.9,28.5,7.366,7.874,1,0.508,99839.00,4.10,0.00,
80.459114,8.246457,110.30,10,2017-08-12,11:05:00,0,0.0,4.3,225,0.0,11,0.3,180,73.0,28.4,0.254,8.128,1,0.254,99823.50,4.07,0.00,
