lon,lat,altitude,sats,date,GMTtime,winddir,windspeedms,windgustms,windgustdir,windspdms_avg5m,winddir_avg5m,windgustms_5m,windgustdir_5m,humidity,tempc,rainhourmm,raindailymm,rainindicate,rain5min,pressure,batt_lvl,light_lvl
0.000000,0.000000,0.00,0,2000-00-00,00:05:00,325,0.0,0.0,0,0.0,325,0.0,0,119.0,12.5,0.000,0.000,0,0.000,0.00,4.11,0.00,
0.000000,0.000000,0.00,0,2000-00-00,00:10:00,325,0.0,0.0,0,0.0,325,0.0,0,119.0,12.2,0.000,0.000,0,0.000,100133.25,4.13,0.00,
0.000000,0.000000,0.00,0,2000-00-00,00:15:00,325,0.0,0.0,0,0.0,325,0.0,0,119.0,12.5,0.000,0.000,0,0.000,100140.75,4.13,0.00,
0.000000,0.000000,0.00,0,2000-00-00,00:20:00,325,0.0,0.0,0,0.0,325,0.0,0,119.0,12.3,0.000,0.000,0,0.000,100133.50,4.10,0.00,
80.423820,8.357649,94.20,6,2000-00-00,00:25:01,325,0.0,0.0,0,0.0,325,0.0,0,119.0,12.6,0.000,0.000,0,0.000,100108.75,4.14,0.00,
80.423805,8.357696,101.60,8,2000-00-00,00:30:01,325,0.0,0.0,0,0.0,325,0.0,0,119.0,13.0,0.000,0.000,0,0.000,100130.75,4.16,0.00,
80.423820,8.357656,83.90,9,2000-00-00,00:35:01,325,0.0,0.0,0,0.0,325,0.0,0,119.0,13.3,0.000,0.000,0,0.000,100140.50,4.17,0.00,
80.423789,8.357684,80.90,9,2000-00-00,00:40:00,325,0.0,0.0,0,0.0,325,0.0,0,119.0,13.7,0.000,0.000,0,0.000,100143.25,4.15,0.00,
80.423789,8.357665,83.40,9,2000-00-00,00:45:00,325,0.0,0.0,0,0.0,325,0.0,0,119.0,13.1,0.000,0.000,0,0.000,100143.50,4.17,0.00,
80.423606,8.357281,74.00,8,2000-00-00,00:50:00,325,0.0,0.0,0,0.0,325,0.0,0,119.0,12.8,0.000,0.000,0,0.000,100137.75,4.14,0.00,
80.415191,8.350673,74.40,9,2000-00-00,00:55:01,325,0.0,0.0,0,0.0,325,0.0,0,119.0,13.7,0.000,0.000,0,0.000,100146.75,4.16,0.00,
80.413574,8.350020,78.40,8,2017-08-12,04:10:36,325,0.0,0.0,0,0.0,314,0.0,0,119.0,13.5,0.000,0.000,0,0.000,100206.25,4.16,0.00,
80.423576,8.357399,96.90,8,2017-08-12,04:15:00,325,0.0,0.0,0,0.0,325,0.0,0,119.0,13.0,0.000,0.000,0,0.000,100205.25,4.16,0.00,
80.420211,8.367413,79.80,8,2017-08-12,04:20:01,325,0.0,0.0,0,0.0,325,0.0,0,119.0,12.7,0.000,0.000,0,0.000,100166.75,4.14,0.00,
80.427947,8.381401,88.40,9,2017-08-12,04:25:01,325,0.0,0.0,0,0.0,325,0.0,0,119.0,13.7,0.000,0.000,0,0.000,100106.50,4.11,3.12,
80.428184,8.381318,108.80,8,2017-08-12,04:30:01,135,0.0,1.5,180,0.3,280,1.5,180,119.0,16.6,0.279,0.279,1,0.279,100097.00,4.08,3.18,
80.428161,8.381349,113.70,8,2017-08-12,04:35:00,225,0.0,1.5,180,0.4,147,1.1,225,119.0,16.6,0.559,0.559,1,0.279,99831.50,4.07,3.15,
