lon,lat,altitude,sats,date,GMTtime,winddir,windspeedms,windgustms,windgustdir,windspdms_avg5m,winddir_avg5m,windgustms_5m,windgustdir_5m,humidity,tempc,rainhourmm,raindailymm,rainindicate,rain5min,pressure,batt_lvl,light_lvl
80.455131,8.182171,123.90,10,2017-08-11,06:30:00,225,2.9,5.7,270,3.1,225,5.7,270,58.6,34.9,27.940,27.940,1,27.940,0.00,4.21,0.28,
80.455123,8.182193,122.90,10,2017-08-11,06:35:00,225,5.1,5.7,270,3.0,238,4.5,270,56.5,35.4,27.940,27.940,0,0.000,99746.25,4.18,0.28,
80.455123,8.182187,124.30,10,2017-08-11,06:40:00,180,3.2,5.7,270,3.7,225,5.7,225,56.3,35.5,27.940,27.940,0,0.000,99719.50,4.20,0.16,
80.455116,8.182185,124.20,10,2017-08-11,06:45:01,225,4.6,6.0,270,3.4,213,6.0,270,56.2,35.5,27.940,27.940,0,0.000,99697.75,4.21,0.30,
80.455108,8.182183,121.60,10,2017-08-11,06:50:01,225,3.2,6.0,270,3.3,226,4.9,180,55.4,35.7,27.940,27.940,0,0.000,99679.50,4.16,0.27,
80.455101,8.182188,119.80,10,2017-08-11,06:55:00,135,4.5,6.0,270,3.8,201,5.4,225,54.3,35.9,27.940,27.940,0,0.000,99676.75,4.21,0.31,
80.455123,8.182188,122.70,10,2017-08-11,07:05:00,270,2.8,6.0,225,3.5,206,6.0,225,53.2,36.1,0.000,27.940,0,0.000,99657.75,4.22,0.31,
80.455123,8.182178,122.60,10,2017-08-11,07:10:00,270,5.1,6.0,225,2.5,238,4.3,270,54.4,36.3,0.000,27.940,0,0.000,99644.75,4.18,0.30,
80.455139,8.182175,125.30,12,2017-08-11,07:15:01,270,5.7,6.0,225,3.2,223,5.3,225,52.0,36.7,0.000,27.940,0,0.000,99633.50,4.22,0.16,
80.455154,8.182168,131.90,11,2017-08-11,07:20:01,270,5.1,6.0,225,3.1,232,5.3,270,51.0,36.7,0.000,27.940,0,0.000,99601.00,4.16,0.30,
80.455146,8.182179,126.40,11,2017-08-11,07:25:00,225,2.8,6.0,225,3.0,184,4.9,0,51.6,36.6,0.000,27.940,0,0.000,99588.00,4.16,0.30,
80.455154,8.182177,125.70,11,2017-08-11,07:30:00,0,5.1,6.0,225,3.6,217,5.7,225,51.1,36.8,0.000,27.940,0,0.000,99579.75,4.19,0.32,
80.455139,8.182173,127.10,11,2017-08-11,07:35:00,225,5.7,6.0,225,3.1,231,5.0,180,50.2,36.8,0.000,27.940,0,0.000,99571.50,4.17,0.32,
80.455116,8.182182,124.60,11,2017-08-11,07:40:01,225,0.0,6.0,225,3.9,220,6.0,225,50.3,36.8,0.000,27.940,0,0.000,99571.25,4.15,0.40,
80.455108,8.182194,122.40,11,2017-08-11,07:45:01,270,2.8,6.0,225,3.4,213,5.1,180,49.4,37.3,0.000,27.940,0,0.000,99567.25,4.19,0.43,
80.455131,8.182177,128.40,11,2017-08-11,07:50:00,180,5.1,6.0,225,3.4,228,5.2,225,48.7,37.5,0.000,27.940,0,0.000,99556.50,4.16,0.42,
80.455146,8.182180,129.30,10,2017-08-11,07:55:00,180,2.8,6.5,180,4.5,210,6.5,180,47.6,37.5,0.000,27.940,0,0.000,99544.25,4.16,0.43,
80.455139,8.182169,127.80,10,2017-08-11,08:05:01,270,5.1,6.9,270,1.8,140,6.9,270,46.9,38.0,0.000,27.940,0,0.000,99543.00,4.17,0.19,
80.455116,8.182173,124.60,10,2017-08-11,08:10:01,180,2.8,6.9,270,4.3,205,5.9,225,45.6,38.0,0.000,27.940,0,0.000,99522.50,4.17,0.19,
80.455108,8.182169,128.10,10,2017-08-11,08:15:01,225,5.1,6.9,270,3.9,217,6.1,225,45.8,37.8,0.000,27.940,0,0.000,99514.75,4.18,0.53,
80.455116,8.182161,127.00,10,2017-08-11,08:20:00,270,2.8,6.9,270,3.8,225,5.3,270,45.5,38.0,0.000,27.940,0,0.000,99513.75,4.19,0.51,
80.455146,8.182172,126.50,9,2017-08-11,08:25:00,225,0.0,6.9,270,3.5,220,5.3,225,45.0,38.1,0.000,27.940,0,0.000,99509.75,4.18,0.47,
80.455139,8.182180,125.30,10,2017-08-11,08:30:01,180,2.8,6.9,270,4.0,219,5.5,225,44.8,38.1,0.000,27.940,0,0.000,99499.75,4.18,0.62,
80.455154,8.182171,129.40,10,2017-08-11,08:35:01,0,5.1,6.9,270,3.4,226,4.6,225,44.3,38.6,0.000,27.940,0,0.000,99499.50,4.17,0.63,
80.455154,8.182185,127.90,10,2017-08-11,08:40:01,225,2.8,6.9,270,2.8,222,4.9,270,43.7,39.0,0.000,27.940,0,0.000,99488.00,4.17,0.69,
80.455146,8.182176,127.80,10,2017-08-11,08:45:00,270,10.2,6.9,270,3.4,235,5.7,270,43.1,39.1,0.000,27.940,0,0.000,99476.50,4.17,0.68,
80.455139,8.182175,126.70,10,2017-08-11,08:50:00,225,5.7,6.9,270,3.7,208,5.7,180,42.0,39.3,0.000,27.940,0,0.000,99469.00,4.18,0.69,
80.455139,8.182180,125.50,10,2017-08-11,08:55:01,270,0.0,6.9,270,3.2,223,5.8,225,42.0,39.6,0.000,27.940,0,0.000,99476.25,4.18,0.68,
80.455131,8.182188,124.00,11,2017-08-11,09:05:01,270,2.8,6.9,270,1.9,144,5.2,225,41.7,39.3,0.000,27.940,0,0.000,99466.75,4.17,0.76,
80.455139,8.182165,127.70,10,2017-08-11,09:10:00,270,5.1,6.9,270,3.4,183,6.3,270,42.2,39.4,0.000,27.940,0,0.000,99471.00,4.19,0.66,
80.455139,8.182180,128.40,11,2017-08-11,09:15:00,225,2.8,6.9,270,3.2,232,4.7,225,41.0,39.3,0.000,27.940,0,0.000,99460.25,4.17,0.24,
80.455139,8.182180,122.60,12,2017-08-11,09:20:00,270,0.0,6.9,270,2.3,210,3.3,225,43.1,38.9,0.000,27.940,0,0.000,99463.50,4.17,0.59,
80.455139,8.182167,127.00,12,2017-08-11,09:25:01,180,2.8,6.9,270,3.0,219,4.9,225,42.3,39.0,0.000,27.940,0,0.000,99454.50,4.17,0.65,
80.455146,8.182170,126.60,12,2017-08-11,09:30:01,270,0.0,6.9,270,3.0,213,4.5,225,42.2,39.0,0.000,27.940,0,0.000,99446.00,4.16,0.69,
80.455139,8.182159,126.00,11,2017-08-11,09:35:00,225,2.8,6.9,270,3.2,229,4.3,180,42.3,38.8,0.000,27.940,0,0.000,99446.25,4.18,0.49,
80.455131,8.182169,126.50,11,2017-08-11,09:40:00,270,5.1,6.9,270,2.4,204,4.2,270,44.0,38.3,0.000,27.940,0,0.000,99439.00,4.17,0.48,
80.455139,8.182175,124.20,11,2017-08-11,09:45:01,225,0.0,6.9,270,3.3,229,4.8,180,44.2,38.2,0.000,27.940,0,0.000,99436.75,4.17,0.46,
80.455139,8.182183,122.90,11,2017-08-11,09:50:01,180,5.1,6.9,270,3.3,220,5.4,225,44.3,38.2,0.000,27.940,0,0.000,99427.75,4.20,0.61,
80.455146,8.182170,125.20,11,2017-08-11,09:55:01,225,2.8,6.9,270,3.5,231,6.2,225,44.3,38.3,0.000,27.940,0,0.000,99418.75,4.18,0.48,
80.455139,8.182173,122.80,11,2017-08-11,10:05:01,225,5.1,6.9,270,1.9,154,4.9,270,44.9,38.0,0.000,27.940,0,0.000,99412.50,4.15,0.30,
80.455139,8.182180,123.80,11,2017-08-11,10:10:01,225,2.8,6.9,270,3.1,232,4.3,270,46.1,37.5,0.000,27.940,0,0.000,99418.00,4.17,0.23,
80.455146,8.182174,126.50,11,2017-08-11,10:15:00,270,5.1,6.9,270,3.0,220,4.6,270,47.6,37.1,0.000,27.940,0,0.000,99414.50,4.17,0.47,
80.455139,8.182181,126.10,11,2017-08-11,10:20:00,225,5.7,7.3,225,3.9,231,7.3,225,47.4,37.1,0.000,27.940,0,0.000,99407.75,4.14,0.61,
80.455154,8.182170,121.00,12,2017-08-11,10:25:01,225,0.0,7.3,225,3.5,211,6.0,225,47.3,37.5,0.000,27.940,0,0.000,99410.50,4.17,0.50,
80.455139,8.182168,121.10,12,2017-08-11,10:30:01,225,2.8,7.3,225,2.7,220,4.7,180,46.8,37.8,0.000,27.940,0,0.000,99408.75,4.18,0.34,
80.455131,8.182172,125.40,12,2017-08-11,10:35:01,225,5.1,7.3,225,3.5,210,5.9,225,47.0,37.6,0.000,27.940,0,0.000,99411.50,4.17,0.72,
80.455131,8.182177,123.70,12,2017-08-11,10:40:00,225,5.7,7.3,225,3.5,193,5.2,180,46.0,38.1,0.000,27.940,0,0.000,99416.00,4.20,0.44,
80.455131,8.182182,122.80,11,2017-08-11,10:45:00,225,0.0,7.3,225,3.3,228,5.7,225,46.4,37.8,0.000,27.940,0,0.000,99406.75,4.18,0.54,
80.455131,8.182174,122.10,12,2017-08-11,10:50:01,225,2.8,7.3,225,3.1,232,4.7,270,46.7,37.6,0.000,27.940,0,0.000,99417.50,4.17,0.29,
80.455131,8.182166,125.90,12,2017-08-11,10:55:01,225,5.1,7.3,225,4.0,222,6.3,225,47.6,37.0,0.000,27.940,0,0.000,99418.50,4.17,0.29,
80.455131,8.182183,124.60,11,2017-08-11,11:05:00,270,5.7,7.3,225,2.2,151,5.6,225,50.9,35.9,0.000,27.940,0,0.000,99416.75,4.15,0.31,
80.455123,8.182188,125.80,12,2017-08-11,11:10:01,225,5.1,7.3,225,3.5,210,6.3,225,50.9,35.9,0.000,27.940,0,0.000,99419.00,4.17,0.36,
80.455131,8.182188,122.70,11,2017-08-11,11:15:01,270,2.8,7.3,225,3.6,216,5.2,225,50.5,36.0,0.000,27.940,0,0.000,99425.50,4.17,0.26,
