lon,lat,altitude,sats,date,GMTtime,winddir,windspeedms,windgustms,windgustdir,windspdms_avg5m,winddir_avg5m,windgustms_5m,windgustdir_5m,humidity,tempc,rainhourmm,raindailymm,rainindicate,rain5min,pressure,batt_lvl,light_lvl
0.000000,0.000000,0.00,0,2000-00-00,00:05:00,180,0.0,1.0,180,0.7,153,1.0,180,119.0,13.5,0.279,0.279,1,0.279,0.00,4.42,0.02,
0.000000,0.000000,0.00,0,2000-00-00,00:10:00,0,0.0,1.6,135,1.0,153,1.6,135,119.0,13.5,0.279,0.279,0,0.000,99797.75,4.42,0.01,
0.000000,0.000000,0.00,0,2000-00-00,00:15:00,135,0.0,1.6,135,0.8,153,1.2,0,119.0,13.4,0.279,0.279,0,0.000,99807.75,4.43,0.02,
0.000000,0.000000,0.00,0,2000-00-00,00:20:00,180,0.0,1.6,135,0.7,153,1.1,135,119.0,13.7,0.279,0.279,0,0.000,99816.25,4.41,0.01,
0.000000,0.000000,0.00,0,2000-00-00,00:25:00,135,0.0,1.6,270,0.9,171,1.6,270,119.0,13.6,0.279,0.279,0,0.000,99824.75,4.39,0.01,
0.000000,0.000000,0.00,0,2000-00-00,00:30:01,225,0.0,1.6,270,0.9,162,1.2,135,119.0,13.8,0.279,0.279,0,0.000,99824.75,4.44,0.01,
0.000000,0.000000,0.00,0,2000-00-00,00:35:01,135,0.0,1.6,270,0.8,81,1.1,135,119.0,13.5,0.279,0.279,0,0.000,99831.75,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,00:40:01,180,0.0,1.6,270,1.0,162,1.3,180,119.0,13.6,0.279,0.279,0,0.000,99835.75,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,00:45:01,225,0.0,1.6,270,0.9,180,1.2,225,119.0,14.0,0.279,0.279,0,0.000,99840.00,4.43,0.00,
0.000000,0.000000,0.00,0,2000-00-00,00:50:02,225,3.8,1.6,270,0.9,171,1.4,225,119.0,13.9,0.279,0.279,0,0.000,99856.00,4.42,0.00,
0.000000,0.000000,0.00,0,2000-00-00,00:55:02,225,3.8,1.6,270,0.7,189,1.0,225,119.0,14.0,0.279,0.279,0,0.000,99848.50,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,01:00:02,225,0.0,1.6,270,0.7,153,1.0,135,119.0,13.5,0.000,0.279,0,0.000,99858.75,4.42,0.00,
0.000000,0.000000,0.00,0,2000-00-00,01:05:02,180,0.0,1.6,270,0.6,162,0.8,135,119.0,13.3,0.000,0.279,0,0.000,99859.25,4.42,0.00,
0.000000,0.000000,0.00,0,2000-00-00,01:10:03,135,0.0,1.6,270,0.5,135,0.7,135,119.0,13.4,0.000,0.279,0,0.000,99867.00,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,01:15:03,135,0.0,1.6,270,0.5,153,0.6,180,119.0,12.9,0.000,0.279,0,0.000,99862.25,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,01:20:03,135,0.0,1.6,270,0.5,144,0.7,180,119.0,12.9,0.000,0.279,0,0.000,99873.00,4.40,0.00,
0.000000,0.000000,0.00,0,2000-00-00,01:25:03,180,0.0,1.6,270,0.4,171,0.6,180,119.0,12.2,0.000,0.279,0,0.000,99882.25,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,01:30:04,90,0.0,1.6,270,0.5,180,0.9,90,119.0,12.7,0.000,0.279,0,0.000,99902.50,4.43,0.00,
0.000000,0.000000,0.00,0,2000-00-00,01:35:04,180,0.0,1.6,270,0.7,171,0.9,135,119.0,12.8,0.000,0.279,0,0.000,99903.75,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,01:40:04,135,0.0,1.6,270,0.8,144,0.9,180,119.0,13.0,0.000,0.279,0,0.000,99913.25,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,01:45:04,270,0.0,1.6,270,0.8,171,1.0,180,119.0,13.0,0.000,0.279,0,0.000,99924.75,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,01:50:05,135,3.8,1.6,270,0.6,227,0.8,325,119.0,13.3,0.000,0.279,0,0.000,99935.50,4.40,0.00,
0.000000,0.000000,0.00,0,2000-00-00,01:55:05,225,0.0,1.6,270,0.6,189,0.8,180,119.0,13.9,0.000,0.279,0,0.000,99939.00,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,02:00:05,180,0.8,1.6,270,0.6,171,0.7,180,119.0,17.2,0.000,0.000,0,0.000,99956.00,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,02:05:16,135,0.0,1.6,270,0.6,144,0.7,135,119.0,17.2,0.000,0.000,0,0.000,99954.75,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,02:10:16,180,0.0,1.6,270,0.5,162,0.8,180,119.0,16.1,0.000,0.000,0,0.000,99968.50,4.37,0.00,
0.000000,0.000000,0.00,0,2000-00-00,02:15:16,90,3.8,1.6,270,0.5,162,0.6,225,119.0,15.9,0.000,0.000,0,0.000,99970.25,4.40,0.00,
0.000000,0.000000,0.00,0,2000-00-00,02:20:17,225,0.0,1.6,270,0.5,218,0.7,135,119.0,16.3,0.000,0.000,0,0.000,99967.50,4.42,0.00,
0.000000,0.000000,0.00,0,2000-00-00,02:25:17,90,0.0,1.6,270,0.5,180,0.7,270,119.0,16.7,0.000,0.000,0,0.000,99971.25,4.40,0.00,
0.000000,0.000000,0.00,0,2000-00-00,02:30:17,180,3.8,1.6,270,0.6,162,0.7,225,119.0,16.1,0.000,0.000,0,0.000,99987.50,4.40,0.00,
0.000000,0.000000,0.00,0,2000-00-00,02:35:17,135,3.8,1.6,270,0.4,171,0.7,135,119.0,16.3,0.000,0.000,0,0.000,99994.00,4.37,0.00,
0.000000,0.000000,0.00,0,2000-00-00,02:40:18,180,3.8,1.6,270,0.5,200,0.7,180,119.0,16.8,0.000,0.000,0,0.000,100023.75,4.42,0.00,
0.000000,0.000000,0.00,0,2000-00-00,02:45:18,180,0.0,1.6,270,0.7,200,0.9,90,119.0,16.5,0.000,0.000,0,0.000,100021.50,4.40,0.00,
0.000000,0.000000,0.00,0,2000-00-00,02:50:18,180,0.0,1.6,270,0.7,153,1.1,180,119.0,15.9,0.000,0.000,0,0.000,100034.50,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,02:55:18,180,0.0,1.6,270,0.5,180,0.9,225,119.0,16.4,0.000,0.000,0,0.000,100043.50,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,03:00:19,180,3.8,1.6,270,0.7,171,0.9,180,119.0,16.0,0.000,0.000,0,0.000,100051.75,4.38,0.00,
0.000000,0.000000,0.00,0,2000-00-00,03:05:19,180,0.0,1.6,270,0.7,153,0.8,180,119.0,16.6,0.000,0.000,0,0.000,100061.00,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,03:10:19,90,3.8,1.6,270,0.4,144,0.6,180,119.0,15.3,0.000,0.000,0,0.000,100059.00,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,03:15:19,180,0.0,1.6,270,0.7,162,0.9,90,119.0,15.3,0.000,0.000,0,0.000,100069.50,4.40,0.00,
0.000000,0.000000,0.00,0,2000-00-00,03:20:20,180,0.0,1.6,270,0.7,189,1.0,225,119.0,15.6,0.000,0.000,0,0.000,100077.50,4.42,0.00,
0.000000,0.000000,0.00,0,2000-00-00,03:25:20,135,0.0,1.6,270,0.6,200,0.6,180,119.0,15.4,0.000,0.000,0,0.000,100078.50,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,03:30:20,90,0.0,1.6,270,0.7,162,0.9,90,119.0,15.6,0.000,0.000,0,0.000,100077.25,4.40,0.00,
0.000000,0.000000,0.00,0,2000-00-00,03:35:20,135,0.0,1.6,270,0.7,144,0.8,90,119.0,15.6,0.000,0.000,0,0.000,100076.50,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,03:40:20,180,0.0,1.6,270,0.6,171,0.7,180,119.0,15.2,0.000,0.000,0,0.000,100089.75,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,03:45:21,225,3.8,1.6,270,1.0,189,1.3,225,119.0,15.5,0.000,0.000,0,0.000,100099.00,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,03:50:21,135,3.8,1.6,270,0.9,164,1.1,90,119.0,15.0,0.000,0.000,0,0.000,100104.25,4.42,0.00,
0.000000,0.000000,0.00,0,2000-00-00,03:55:21,135,0.0,1.6,270,0.8,189,1.0,135,119.0,15.7,0.000,0.000,0,0.000,100117.50,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,04:00:21,180,0.0,1.6,270,0.6,191,0.8,180,119.0,15.7,0.000,0.000,0,0.000,100130.50,4.40,0.00,
0.000000,0.000000,0.00,0,2000-00-00,04:05:22,135,0.0,1.6,270,0.7,126,1.1,180,119.0,15.7,0.000,0.000,0,0.000,100130.00,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,04:10:22,225,0.0,1.6,270,0.7,153,0.9,90,119.0,15.3,0.000,0.000,0,0.000,100123.25,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,04:15:22,180,0.0,1.6,270,0.6,189,0.8,180,119.0,15.3,0.000,0.000,0,0.000,100130.75,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,04:20:22,180,3.8,1.6,270,0.6,189,0.8,180,119.0,15.6,0.000,0.000,0,0.000,100141.75,4.40,0.00,
0.000000,0.000000,0.00,0,2000-00-00,04:25:23,135,3.8,1.6,270,0.7,135,1.0,135,119.0,15.3,0.000,0.000,0,0.000,100143.75,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,04:30:23,0,0.0,1.6,270,0.8,126,1.1,180,119.0,15.4,0.000,0.000,0,0.000,100152.25,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,04:35:23,90,0.0,1.6,270,0.7,126,0.8,135,119.0,15.5,0.000,0.000,0,0.000,100158.75,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,04:40:23,180,0.0,1.6,270,1.0,162,1.3,135,119.0,15.8,0.000,0.000,0,0.000,100161.00,4.38,0.00,
0.000000,0.000000,0.00,0,2000-00-00,04:45:24,135,0.0,1.6,270,0.9,191,1.1,180,119.0,15.6,0.000,0.000,0,0.000,100164.50,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,04:50:24,180,0.0,1.6,270,0.7,180,1.3,180,119.0,15.7,0.000,0.000,0,0.000,100168.50,4.38,0.00,
0.000000,0.000000,0.00,0,2000-00-00,04:55:24,180,0.0,1.6,270,0.6,162,0.9,180,119.0,16.0,0.000,0.000,0,0.000,100180.25,4.38,0.00,
0.000000,0.000000,0.00,0,2000-00-00,05:00:24,180,3.8,1.6,270,0.9,164,1.1,180,119.0,15.6,0.000,0.000,0,0.000,100185.75,4.38,0.00,
0.000000,0.000000,0.00,0,2000-00-00,05:05:25,90,0.0,1.6,270,0.9,153,1.1,90,119.0,15.2,0.000,0.000,0,0.000,100184.75,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,05:10:25,180,0.0,1.6,270,0.6,126,1.0,180,119.0,15.4,0.000,0.000,0,0.000,100183.50,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,05:15:25,135,0.0,1.6,270,0.8,162,1.2,90,119.0,15.0,0.000,0.000,0,0.000,100182.00,4.37,0.00,
0.000000,0.000000,0.00,0,2000-00-00,05:20:25,225,0.0,1.6,270,0.9,171,1.3,225,119.0,15.0,0.000,0.000,0,0.000,100183.50,4.40,0.00,
0.000000,0.000000,0.00,0,2000-00-00,05:25:26,180,0.0,1.6,270,1.0,162,1.2,225,119.0,15.2,0.000,0.000,0,0.000,100173.50,4.37,0.00,
0.000000,0.000000,0.00,0,2000-00-00,05:30:26,135,0.0,1.6,270,0.9,108,1.3,180,119.0,15.1,0.000,0.000,0,0.000,100175.50,4.40,0.00,
0.000000,0.000000,0.00,0,2000-00-00,05:35:26,135,0.0,1.6,270,1.1,256,1.3,325,119.0,15.1,0.000,0.000,0,0.000,100178.75,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,05:40:26,135,0.0,1.6,270,0.9,191,1.0,135,119.0,13.8,0.000,0.000,0,0.000,100172.00,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,05:45:26,90,0.0,1.6,270,1.0,153,1.3,135,119.0,14.9,0.000,0.000,0,0.000,100167.50,4.37,0.00,
0.000000,0.000000,0.00,0,2000-00-00,05:50:27,180,0.0,1.6,270,1.0,171,1.3,225,119.0,14.9,0.000,0.000,0,0.000,100171.50,4.37,0.00,
0.000000,0.000000,0.00,0,2000-00-00,05:55:27,90,0.0,1.6,270,0.9,144,1.3,180,119.0,14.9,0.000,0.000,0,0.000,100158.00,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,06:00:27,135,0.0,1.6,270,0.9,218,1.3,225,119.0,15.4,0.000,0.000,0,0.000,100163.50,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,06:05:27,135,3.8,1.6,270,0.8,191,1.0,90,119.0,15.3,0.000,0.000,0,0.000,100162.25,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,06:10:28,135,0.0,1.6,270,0.8,153,1.3,135,119.0,15.4,0.000,0.000,0,0.000,100157.75,4.37,0.00,
0.000000,0.000000,0.00,0,2000-00-00,06:15:28,180,0.0,1.6,270,0.9,171,1.3,180,119.0,15.2,0.000,0.000,0,0.000,100151.25,4.40,0.00,
0.000000,0.000000,0.00,0,2000-00-00,06:20:28,135,0.0,1.6,270,0.8,229,1.1,135,119.0,14.9,0.000,0.000,0,0.000,100156.00,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,06:25:28,180,0.0,1.6,270,0.8,191,1.1,180,119.0,15.3,0.000,0.000,0,0.000,100143.25,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,06:30:29,135,0.0,1.6,270,0.8,171,0.9,180,119.0,15.5,0.000,0.000,0,0.000,100152.25,4.37,0.00,
0.000000,0.000000,0.00,0,2000-00-00,06:35:29,180,0.0,1.6,270,0.8,162,1.2,135,119.0,15.2,0.000,0.000,0,0.000,100145.00,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,06:40:29,225,0.0,1.6,270,0.7,162,0.8,135,119.0,14.9,0.000,0.000,0,0.000,100133.25,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,06:45:29,225,0.0,1.6,270,0.7,171,0.8,180,119.0,15.0,0.000,0.000,0,0.000,100130.50,4.37,0.00,
0.000000,0.000000,0.00,0,2000-00-00,06:50:30,225,0.0,1.6,270,0.8,153,0.9,180,119.0,14.9,0.000,0.000,0,0.000,100126.25,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,06:55:30,180,0.0,1.6,270,0.7,218,0.8,325,119.0,14.8,0.000,0.000,0,0.000,100118.50,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,07:00:30,135,0.0,1.6,270,0.7,200,1.1,180,119.0,15.2,0.000,0.000,0,0.000,100113.00,4.40,0.00,
0.000000,0.000000,0.00,0,2000-00-00,07:05:30,270,0.0,1.6,270,0.6,198,0.9,180,119.0,14.8,0.000,0.000,0,0.000,100105.00,4.38,0.00,
0.000000,0.000000,0.00,0,2000-00-00,07:10:31,135,0.0,1.6,270,0.8,135,0.8,135,119.0,14.9,0.000,0.000,0,0.000,100104.00,4.36,0.00,
0.000000,0.000000,0.00,0,2000-00-00,07:15:31,225,0.0,1.6,270,0.7,162,1.4,225,119.0,14.8,0.000,0.000,0,0.000,100094.50,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,07:20:31,225,0.0,1.6,270,0.7,126,1.2,180,119.0,14.8,0.000,0.000,0,0.000,100096.25,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,07:25:31,180,0.0,1.6,270,0.8,191,1.3,135,119.0,14.8,0.000,0.000,0,0.000,100091.00,4.40,0.00,
0.000000,0.000000,0.00,0,2000-00-00,07:30:31,135,0.0,1.6,270,0.7,135,0.8,135,119.0,14.8,0.000,0.000,0,0.000,100087.00,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,07:35:32,90,0.0,1.6,270,0.9,135,1.2,90,119.0,14.9,0.000,0.000,0,0.000,100081.00,4.40,0.00,
0.000000,0.000000,0.00,0,2000-00-00,07:40:32,180,0.0,1.6,270,0.7,209,0.9,270,119.0,15.0,0.000,0.000,0,0.000,100072.50,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,07:45:32,325,0.0,1.6,270,0.6,153,0.8,180,119.0,14.8,0.000,0.000,0,0.000,100069.25,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,07:50:32,90,0.0,1.6,270,0.9,153,1.0,225,119.0,15.5,0.000,0.000,0,0.000,100058.75,4.39,0.00,
0.000000,0.000000,0.00,0,2000-00-00,07:55:33,180,0.0,1.6,270,0.8,153,1.2,90,119.0,15.1,0.000,0.000,0,0.000,100059.25,4.36,0.00,
0.000000,0.000000,0.00,0,2000-00-00,08:00:33,180,0.0,1.6,270,0.6,180,0.7,225,119.0,15.5,0.000,0.000,0,0.000,100051.25,4.38,0.00,
0.000000,0.000000,0.00,0,2000-00-00,08:05:33,225,0.0,1.6,270,0.6,198,1.0,180,119.0,15.4,0.000,0.000,0,0.000,100053.50,4.37,0.00,
0.000000,0.000000,0.00,0,2000-00-00,08:10:33,180,0.0,1.6,270,0.7,218,0.8,225,119.0,15.2,0.000,0.000,0,0.000,100043.25,4.41,0.00,
0.000000,0.000000,0.00,0,2000-00-00,08:15:34,180,0.0,1.6,270,0.7,135,0.9,90,119.0,15.0,0.000,0.000,0,0.000,100039.75,4.37,0.00,
0.000000,0.000000,0.00,0,2000-00-00,08:20:34,180,0.0,1.6,270,0.6,180,0.9,225,119.0,14.9,0.000,0.000,0,0.000,100039.50,4.39,0.00,
